geoid,geoid20,year,denom_adult_pop,voted_count,registered_count,registration_pct,voter_turnout_pct,denom_registered
1400000US06037111202,6037111202,2010,3935,1474,2814,71.5,52.400002,2814
1400000US06037111204,6037111204,2010,4667,2544,3997,85.599998,63.599998,3997
1400000US06037111205,6037111205,2010,2832,976,1811,63.900002,53.900002,1811
1400000US06037111206,6037111206,2010,3525,1969,3006,85.300003,65.5,3006
1400000US06037111302,6037111302,2010,3717,1331,2445,65.800003,54.400002,2445
1400000US06037111303,6037111303,2010,4398,1147,2452,55.799999,46.799999,2452
1400000US06037111304,6037111304,2010,1230,321,686,55.799999,46.799999,686
1400000US06037111401,6037111401,2010,2713,760,1550,57.099998,49,1550
1400000US06037111402,6037111402,2010,3134,879,1790,57.099998,49.099998,1790
1400000US06037113101,6037113101,2010,3223,1490,2451,76,60.799999,2451
1400000US06037113102,6037113102,2010,2392,1364,1983,82.900002,68.800003,1983
1400000US06037113211,6037113211,2010,3733,1718,2635,70.599998,65.199997,2635
1400000US06037113212,6037113212,2010,2609,904,1717,65.800003,52.599998,1717
1400000US06037113213,6037113213,2010,3646,1205,2247,61.599998,53.599998,2247
1400000US06037113231,6037113231,2010,1696,945,1406,82.900002,67.199997,1406
1400000US06037113232,6037113232,2010,3368,1496,2471,73.400002,60.5,2471
1400000US06037113234,6037113234,2010,3325,698,1482,44.599998,47.099998,1482
1400000US06037113235,6037113235,2010,1416,601,1030,72.699997,58.299999,1030
1400000US06037113237,6037113237,2010,2585,1215,2125,82.199997,57.200001,2125
1400000US06037113238,6037113238,2010,3036,561,1292,42.599998,43.400002,1292
1400000US06037113239,6037113239,2010,1859,344,790,42.5,43.5,790
1400000US06037113301,6037113301,2010,1757,906,1429,81.300003,63.400002,1429
1400000US06037113303,6037113303,2010,3196,1374,2404,75.199997,57.200001,2404
1400000US06037113322,6037113322,2010,3127,1515,2523,80.699997,60,2523
1400000US06037113323,6037113323,2010,3428,737,1585,46.200001,46.5,1585
1400000US06037113324,6037113324,2010,1537,331,711,46.299999,46.599998,711
1400000US06037113423,6037113423,2010,1162,412,774,66.599998,53.200001,774
1400000US06037113424,6037113424,2010,2848,1010,1896,66.599998,53.299999,1896
1400000US06037113425,6037113425,2010,682,132,313,100,42.200001,313
1400000US06037113426,6037113426,2010,3746,726,1720,45.900002,42.200001,1720
1400000US06037113427,6037113427,2010,804,229,455,100,50.299999,455
1400000US06037113428,6037113428,2010,3937,1121,2228,56.599998,50.299999,2228
1400000US06037115101,6037115101,2010,4006,2310,3618,90.300003,63.799999,3618
1400000US06037115103,6037115103,2010,216,181,1123,100,16.1,1123
1400000US06037115104,6037115104,2010,2864,801,2014,70.300003,39.799999,2014
1400000US06037115202,6037115202,2010,4240,1122,2409,56.799999,46.599998,2409
1400000US06037115203,6037115203,2010,2340,581,1142,48.799999,50.900002,1142
1400000US06037115204,6037115204,2010,2999,745,1464,48.799999,50.900002,1464
1400000US06037115301,6037115301,2010,3504,1393,2425,69.199997,57.400002,2425
1400000US06037115302,6037115302,2010,2579,405,1025,39.700001,39.5,1025
1400000US06037115401,6037115401,2010,4326,1106,2341,54.099998,47.200001,2341
1400000US06037115403,6037115403,2010,2380,465,1104,46.400002,42.099998,1104
1400000US06037115404,6037115404,2010,2158,485,1041,48.200001,46.599998,1041
1400000US06037117101,6037117101,2010,3182,701,1699,53.400002,41.299999,1699
1400000US06037117102,6037117102,2010,2225,600,1142,51.299999,52.5,1142
1400000US06037117201,6037117201,2010,2949,634,1420,48.200001,44.599998,1420
1400000US06037117202,6037117202,2010,2060,558,1102,53.5,50.599998,1102
1400000US06037117301,6037117301,2010,3231,1256,2264,70.099998,55.5,2264
1400000US06037117302,6037117302,2010,3893,1591,2826,72.599998,56.299999,2826
1400000US06037117303,6037117303,2010,2425,1029,1904,78.5,54,1904
1400000US06037117404,6037117404,2010,3583,1189,2219,61.900002,53.599998,2219
1400000US06037117405,6037117405,2010,1975,145,351,17.799999,41.299999,351
1400000US06037117407,6037117407,2010,1952,93,376,19.299999,24.700001,376
1400000US06037117408,6037117408,2010,1927,215,562,29.200001,38.299999,562
1400000US06037117510,6037117510,2010,2544,254,731,28.700001,34.700001,731
1400000US06037117520,6037117520,2010,2189,224,618,28.200001,36.200001,618
1400000US06037117530,6037117530,2010,3950,443,1195,30.299999,37.099998,1195
1400000US06037119001,6037119001,2010,2986,736,1639,54.900002,44.900002,1639
1400000US06037119003,6037119003,2010,2449,776,1721,70.300003,45.099998,1721
1400000US06037119004,6037119004,2010,2447,773,1716,70.099998,45,1716
1400000US06037119201,6037119201,2010,3286,307,682,20.799999,45,682
1400000US06037119202,6037119202,2010,2855,699,1669,58.5,41.900002,1669
1400000US06037119310,6037119310,2010,2572,464,1154,44.900002,40.200001,1154
1400000US06037119320,6037119320,2010,2555,360,939,36.799999,38.299999,939
1400000US06037119340,6037119340,2010,2878,129,397,13.8,32.5,397
1400000US06037119341,6037119341,2010,1838,380,918,49.900002,41.400002,918
1400000US06037119342,6037119342,2010,2103,311,742,35.299999,41.900002,742
1400000US06037119400,6037119400,2010,3912,893,1966,50.299999,45.400002,1966
1400000US06037119700,6037119700,2010,3397,951,2161,63.599998,44,2161
1400000US06037119801,6037119801,2010,1933,449,1053,54.5,42.599998,1053
1400000US06037119802,6037119802,2010,1988,462,1083,54.5,42.700001,1083
1400000US06037119900,6037119900,2010,3581,866,1923,53.700001,45,1923
1400000US06037120010,6037120010,2010,1879,399,914,48.599998,43.700001,914
1400000US06037120020,6037120020,2010,3254,341,833,25.6,40.900002,833
1400000US06037120030,6037120030,2010,2064,147,399,19.299999,36.799999,399
1400000US06037120103,6037120103,2010,2420,68,305,12.6,22.299999,305
1400000US06037120104,6037120104,2010,2000,161,473,23.6,34,473
1400000US06037120105,6037120105,2010,2025,453,918,45.299999,49.299999,918
1400000US06037120106,6037120106,2010,2976,202,604,20.299999,33.400002,604
1400000US06037120107,6037120107,2010,2122,187,511,24.1,36.599998,511
1400000US06037120108,6037120108,2010,3000,420,974,32.5,43.099998,974
1400000US06037120300,6037120300,2010,3811,946,2110,55.400002,44.799999,2110
1400000US06037120400,6037120400,2010,4700,767,1851,39.400002,41.400002,1851
1400000US06037121010,6037121010,2010,3753,851,1905,50.799999,44.700001,1905
1400000US06037121020,6037121020,2010,2640,551,1316,49.799999,41.900002,1316
1400000US06037121101,6037121101,2010,2253,378,914,40.599998,41.400002,914
1400000US06037121102,6037121102,2010,2026,488,1047,51.700001,46.599998,1047
1400000US06037121210,6037121210,2010,1958,573,1346,68.699997,42.599998,1346
1400000US06037121221,6037121221,2010,1498,502,1081,72.199997,46.400002,1081
1400000US06037121222,6037121222,2010,3362,321,731,21.700001,43.900002,731
1400000US06037121600,6037121600,2010,2075,625,1391,67,44.900002,1391
1400000US06037121801,6037121801,2010,2632,442,1044,39.700001,42.299999,1044
1400000US06037121802,6037121802,2010,2629,501,1241,47.200001,40.400002,1241
1400000US06037121900,6037121900,2010,3142,682,1602,51,42.599998,1602
1400000US06037122000,6037122000,2010,4190,1006,2312,55.200001,43.5,2312
1400000US06037122120,6037122120,2010,3196,727,1614,50.5,45,1614
1400000US06037122121,6037122121,2010,2168,355,912,42.099998,38.900002,912
1400000US06037122122,6037122122,2010,1358,221,599,44.099998,36.900002,599
1400000US06037122200,6037122200,2010,2536,525,1189,46.900002,44.200001,1189
1400000US06037122410,6037122410,2010,2937,273,712,24.200001,38.299999,712
1400000US06037122420,6037122420,2010,3813,649,1416,37.099998,45.799999,1416
1400000US06037123010,6037123010,2010,3261,481,1107,33.900002,43.5,1107
1400000US06037123020,6037123020,2010,2446,497,1086,44.400002,45.799999,1086
1400000US06037123103,6037123103,2010,3123,761,1551,49.700001,49.099998,1551
1400000US06037123104,6037123104,2010,3386,746,1597,47.200001,46.700001,1597
1400000US06037123203,6037123203,2010,2586,325,808,31.200001,40.200001,808
1400000US06037123204,6037123204,2010,2037,283,789,38.700001,35.900002,789
1400000US06037123205,6037123205,2010,1971,244,614,31.200001,39.700001,614
1400000US06037123206,6037123206,2010,1837,390,869,47.299999,44.900002,869
1400000US06037123301,6037123301,2010,3826,834,1875,49,44.5,1875
1400000US06037123303,6037123303,2010,2137,433,1051,49.200001,41.200001,1051
1400000US06037123304,6037123304,2010,3319,666,1630,49.099998,40.900002,1630
1400000US06037123410,6037123410,2010,3053,456,1148,37.599998,39.700001,1148
1400000US06037123420,6037123420,2010,3080,493,1248,40.5,39.5,1248
1400000US06037123510,6037123510,2010,3572,646,1497,41.900002,43.200001,1497
1400000US06037123520,6037123520,2010,1900,458,998,52.5,45.900002,998
1400000US06037123601,6037123601,2010,4785,1022,2200,46,46.5,2200
1400000US06037123602,6037123602,2010,2915,856,1584,54.299999,54,1584
1400000US06037123700,6037123700,2010,3316,801,1869,56.400002,42.900002,1869
1400000US06037123800,6037123800,2010,4141,1391,2713,65.5,51.299999,2713
1400000US06037123901,6037123901,2010,3653,756,1736,47.5,43.5,1736
1400000US06037123902,6037123902,2010,1889,727,1352,71.599998,53.799999,1352
1400000US06037124000,6037124000,2010,3536,1676,2951,83.5,56.799999,2951
1400000US06037124102,6037124102,2010,2848,644,1408,49.400002,45.700001,1408
1400000US06037124103,6037124103,2010,1402,273,593,42.299999,46,593
1400000US06037124104,6037124104,2010,1941,337,835,43,40.400002,835
1400000US06037124105,6037124105,2010,2166,282,702,32.400002,40.200001,702
1400000US06037124201,6037124201,2010,2365,701,1459,61.700001,48,1459
1400000US06037124203,6037124203,2010,1872,359,856,45.700001,41.900002,856
1400000US06037124204,6037124204,2010,2138,397,972,45.5,40.799999,972
1400000US06037124300,6037124300,2010,3038,719,1522,50.099998,47.200001,1522
1400000US06037124400,6037124400,2010,3145,1166,2191,69.699997,53.200001,2191
1400000US06037124500,6037124500,2010,2383,957,1623,68.099998,59,1623
1400000US06037124600,6037124600,2010,2596,1185,2011,77.5,58.900002,2011
1400000US06037124700,6037124700,2010,3710,1775,3033,81.800003,58.5,3033
1400000US06037124902,6037124902,2010,2472,851,1697,68.599998,50.099998,1697
1400000US06037124903,6037124903,2010,3035,731,1554,51.200001,47,1554
1400000US06037125101,6037125101,2010,2392,912,1595,66.699997,57.200001,1595
1400000US06037125102,6037125102,2010,2389,910,1594,66.699997,57.099998,1594
1400000US06037125200,6037125200,2010,2839,1100,1956,68.900002,56.200001,1956
1400000US06037125310,6037125310,2010,2942,797,1810,61.5,44,1810
1400000US06037125321,6037125321,2010,1491,302,800,53.700001,37.799999,800
1400000US06037125322,6037125322,2010,2146,435,1151,53.599998,37.799999,1151
1400000US06037125402,6037125402,2010,3203,1211,2280,71.199997,53.099998,2280
1400000US06037125403,6037125403,2010,1548,389,869,56.099998,44.799999,869
1400000US06037125404,6037125404,2010,2110,530,1184,56.099998,44.799999,1184
1400000US06037125501,6037125501,2010,2462,918,1758,71.400002,52.200001,1758
1400000US06037125502,6037125502,2010,2771,953,1803,65.099998,52.900002,1803
1400000US06037125600,6037125600,2010,2376,1077,1782,75,60.400002,1782
1400000US06037127102,6037127102,2010,3689,516,1306,35.400002,39.5,1306
1400000US06037127103,6037127103,2010,1937,314,795,41,39.5,795
1400000US06037127104,6037127104,2010,2632,605,1262,47.900002,47.900002,1262
1400000US06037127210,6037127210,2010,3814,717,1738,45.599998,41.299999,1738
1400000US06037127220,6037127220,2010,3410,572,1452,42.599998,39.400002,1452
1400000US06037127300,6037127300,2010,3167,753,1650,52.099998,45.599998,1650
