X,Y,OBJECTID,VCID,VC_Site_Name,VC_Site_Room,VC_Site_address,VC_Site_city,VC_Site_ZIP,Voting_Period_Type,number_of_BMDs,VC_Size
-13164476.8979,4011719.7119,3753,1913,Stevenson Park,Community Room,17400 Lysander Dr ,Carson,90746,4 Day,,
-13169064.8299,4041148.1681,3754,5899,Ramona Elementary School,Auditorium,1133 N Mariposa Ave,Los Angeles,90029,4 Day,,
-13165049.3952,4027531.3336,3755,12808,Los Angeles Academy Middle School,Multi-Purpose Room,644 E 56th St,Los Angeles,90011,4 Day,,
-13168160.4573,4043011.8886,3756,9291,Elysian Masonic Temple,Dining Room,1900 N Vermont Ave,Los Angeles,90027,11 Day,,
-13170816.832,4063620.5256,3757,14213,New Hope Community Church,Activity Center,10438 Oro Vista Ave,Sunland,91040,4 Day,,
-13206964.0203,4092250.8875,3758,7524,Castaic Middle School,Multi-Purpose Room,28900 Hillcrest Pkwy,Castaic,91384,4 Day,,
-13176988.1769,4057707.9359,3759,186,Sun Valley Branch Library,Meeting Room,7935 Vineland Ave,Sun Valley,91352,4 Day,,
-13178499.562,4014720.3952,3760,13403,Marine Avenue Park,Rocketship Hall,1625 Marine Ave ,Manhattan Beach,90266,4 Day,,
-13124584.7328,4031429.4989,3761,10678,Shadow Oak Park Recreation Center,Community Hall,2121 Shadow Oak Dr,West Covina,91792,4 Day,,
-13157285.5751,4021521.0534,3762,12786,Iglesia Cristiana De South Gate,Gymnasium,9618 Alexander Ave,South Gate,90280,4 Day,,
-13165491.5598,4022284.4686,3763,12346,93rd Street Elementary School,Auditorium,330 E 93rd St,Los Angeles,90003,4 Day,,
-13157167.3529,4014762.2394,3764,9389,E Rancho Dominguez Park,Gymnasium,15116 S Atlantic Ave,Compton,90221,4 Day,,
-13173944.7241,4027805.6352,3765,10762,54th Street Elementary School,Auditorium,5501 Eileen Ave,Los Angeles,90043,4 Day,,
-13139493.0657,4026131.85,3766,3294,First United Methodist Church,Wesley Building Room 120,6725 Friends Ave,Whittier,90601,4 Day,,
-13181698.9997,4065955.8661,3767,7762,Northeast Valley Multipurpose Sr Center,Multi-Purpose Room,11300 Glenoaks Blvd,Pacoima,91331,4 Day,,
-13153616.3634,4009015.3971,3768,13593,Biscailuz Park,Activity Room,2601 Dollar St ,Lakewood,90712,4 Day,,
-13185711.5259,4038142.7638,3769,5394,UCLA De Neve Plaza,Rooms A and B,351 Charles E Young Dr W,Los Angeles,90024,11 Day,,
-13167584.8323,4023035.5534,3770,13241,Algin Sutton Recreation Center,Classroom,8800 S Hoover St,Los Angeles,90044,4 Day,,
-13181936.937,4061659.101,3771,6772,Montague Charter Academy,Auditorium,13000 Montague St,Pacoima,91331,4 Day,,
-13176637.9827,4052216.6822,3772,13108,Jesus Sacred Heart Church,Parish Hall,10837 Collins St ,North Hollywood,91601,4 Day,,
-13174839.8962,4035601.9062,3773,6176,Cochran Avenue Baptist Church,Fellowship Hall,1304 Cochran Ave,Los Angeles,90019,4 Day,,
-13152748.6054,4040252.9154,3774,6363,Emery Park,Gymnasium,2709 Mimosa St,Alhambra,91803,4 Day,,
-13161371.2859,4029196.7302,3775,14188,Holy Angels Church of the Deaf,Fellowship Hall,4433 S Santa Fe Ave ,Vernon,90058,4 Day,,
-13153974.3678,4049883.6557,3776,13329,Rosemont Pavilion,North Warehouse,700 Seco St,Pasadena,91103,4 Day,,
-13145542.6957,4020168.7488,3777,13672,Florence Avenue Foursquare Church,Fellowship Hall,11457 Florence Ave,Santa Fe Springs,90670,4 Day,,
-13139224.3828,4046058.6313,3778,206,Arcadia Public Library,Auditorium,20 W Duarte Rd,Arcadia,91006,4 Day,,
-13188234.2666,4027703.8022,3779,2229,Westminster Avenue Elementary School,Auditorium,1010 Abbot Kinney Blvd ,Venice,90291,4 Day,,
-13161558.9698,4019584.8955,3780,541,Watts Empowerment Center,Gymnasium,2250 E 114th St,Los Angeles,90059,4 Day,,
-13144307.8853,4010078.5798,3781,13275,Artesia Library,Meeting Room,18801 Elaine Ave,Artesia,90701,11 Day,,
-13192811.0668,4058636.9533,3782,13106,St Mary and St Athanasius Church,Basketball Court,17431 Roscoe Blvd,Northridge,91325,4 Day,,
-13125651.3861,4024442.7804,3783,2935,Rowland Heights Community Center,Multi-Purpose Room,18150 Pathfinder Rd,Rowland Heights,91748,4 Day,,
-13174150.4895,4040117.1521,3784,6762,Melrose Avenue Elementary School,Auditorium,731 N Detroit St,Los Angeles,90046,4 Day,,
-13144624.8318,4024778.3234,3785,1769,Pioneer High School,Large Gymnasium,10800 Benavon St,Whittier,90606,4 Day,,
-13166017.2845,4062269.8154,3786,5891,Mountain View Elementary School,Auditorium,6410 Olcott St,Tujunga,91042,4 Day,,
-13174912.2692,4020539.6679,3787,13265,Lennox Library,Meeting Room,4359 Lennox Blvd,Lennox,90304,4 Day,,
-13115780.4693,4036299.695,3788,11786,CA State Polytechnic University Pomona,Building 35 Room 2135 Ursa Minor,3801 W Temple Ave,Pomona,91768,4 Day,,
-13197425.503,4077896.8141,3789,14220,Santa Clarita Athletic Club,Front Room,24640 Wiley Canyon Rd,Newhall,91321,4 Day,,
-13181195.1944,4013210.0569,3790,5820,Neptunian Woman's Club,North Hall,920 Highland Ave ,Manhattan Beach,90266,4 Day,,
-13171017.8471,4017049.0805,3791,10717,Rowley Park,Gymnasium,13220 Van Ness Ave ,Gardena,90249,4 Day,,
-13161020.2238,4051199.5209,3792,11736,Glendale Community College,Student Center Conference Room 212A,1500 N Verdugo Rd,Glendale,91208,11 Day,,
-13170678.3841,4002420.1224,3793,10854,Lomita Park,Tom Rico Center Community Room,24428 Eshelman Ave,Lomita,90717,4 Day,,
-13172871.5672,4054527.6934,3794,14158,Courtyard Los Angeles Burbank Airport,Empire Ballroom,2100 W Empire Ave,Burbank,91504,4 Day,,
-13162295.093,4042577.3829,3795,5208,Sotomayor Arts and Sciences Magnet,Multi-Purpose Room,2050 N San Fernando Rd ,Los Angeles,90065,4 Day,,
-13168325.4486,4040304.2008,3796,4271,Los Angeles City College,Student Union 3rd Flr-Multi-Purpose Rm,855 N Vermont Ave,Los Angeles,90029,4 Day,,
-13159060.0395,4012360.308,3797,1364,Compton College,Multi-Purpose Room,1111 E Artesia Blvd,Compton,90221,4 Day,,
-13158339.8095,4056368.98,3798,11814,La Canada USD Office,Boardroom,4490 Cornishon Ave,La Canada Flintridge,91011,4 Day,,
-13159155.7468,4031561.0553,3799,590,Lou Costello Recreation Center,Senior Center,3141 E Olympic Blvd,Los Angeles,90023,4 Day,,
-13128902.815,4038393.419,3800,340,West Covina City Hall,Community Room,1444 W Garvey Ave S,West Covina,91790,4 Day,,
-13207411.4035,4051761.9969,3801,14316,El Camino Real Charter High School,Anderson Hall,5440 Valley Circle Blvd,Woodland Hills,91367,4 Day,,
-13167430.1498,4062774.3573,3802,1839,Pinewood Avenue Elementary School,Auditorium,10111 Silverton Ave,Tujunga,91042,4 Day,,
-13171481.8657,4063926.2327,3803,11813,Sunland Senior Citizen Center,Senior Club Room,8640 Fenwick St,Sunland,91040,11 Day,,
-13161090.1316,4116787.4216,3804,3126,George Lane Park,Community Room,5520 W Avenue L 8 Ave,Lancaster,93536,11 Day,,
-13160647.7272,4022585.0586,3805,13013,Primera Iglesia Bautista El Peregrino,Meeting Room,2702 Glenwood Pl,South Gate,90280,4 Day,,
-13130428.4793,4105283.2021,3806,11727,Living Stone Cathedral of Worship,Fellowship Hall,37721 100th St E ,Littlerock,93543,4 Day,,
-13157964.1224,4052166.7209,3807,6,Chevy Chase Branch Library,Main Room,3301 E Chevy Chase Dr,Glendale,91206,4 Day,,
-13120831.1762,4044713.01,3808,11785,Crowther Teen and Family Center,Foothill and Route 66 Rooms,241 W Dawson Ave,Glendora,91740,4 Day,,
-13143792.8601,4119359.3358,3809,12828,Skytower Park,Meeting Room,43434 Vineyard Dr ,Lancaster,93535,4 Day,,
-13125673.7678,4096548.2256,3810,14331,Foursquare Church-Pearblossom,Sanctuary,34005 123rd St E,Pearblossom,93553,4 Day,,
-13183256.3712,4023367.0955,3811,14581,Westchester Enriched Sciences Magnets,Multi-Purpose Room,7400 W Manchester Ave,Los Angeles,90045,4 Day,,
-13167685.2428,4020673.298,3812,12880,Community Church of Los Angeles,Fellowship Hall,10611 S Hoover St,Los Angeles,90044,4 Day,,
-13190849.9078,4051040.6892,3813,14111,Sepulveda Garden Center,Meeting Room,16633 Magnolia Blvd,Encino,91436,4 Day,,
-13139815.9432,4021077.4715,3814,6769,Adventure Park,Gymnasium,10130 Gunn Ave,Whittier,90605,11 Day,,
-13149586.3981,4123801.1441,3815,11063,High Desert Regional Health Center,Conference Rooms 11A-11C,335 E Avenue I,Lancaster,93535,4 Day,,
-13164094.6234,4013513.3992,3816,4490,Burrell-MacDonald Park,Multi-Purpose Room,2516 W Alondra Blvd,Compton,90220,4 Day,,
-13115484.3354,4028218.3947,3817,11750,Chaparral Middle School,Multi-Purpose Room,1405 Spruce Tree Dr,Diamond Bar,91765,4 Day,,
-13178678.187,4049329.2748,3818,5994,Walter Reed Middle School,Auditorium Foyer,4525 Irvine Ave,North Hollywood,91602,4 Day,,
-13167127.3133,4025604.9476,3819,11816,South LA Sports Activity Center,Multi-Purpose Room 101,7020 S Figueroa St,Los Angeles,90003,4 Day,,
-13148427.1539,4000253.5559,3820,11768,CSU Long Beach-Walter Pyramid,The Pointe Sunset Rooms A and B,1250 N Bellflower Blvd,Long Beach,90840,4 Day,,
-13153033.5564,4044163.2703,3821,257,South Pasadena Public Library,Community Room,1115 El Centro St,South Pasadena,91030,4 Day,,
-13199475.5531,4081721.1047,3822,13894,Stevenson Ranch Library,Meeting Room,25950 The Old Rd,Stevenson Ranch,91381,4 Day,,
-13153354.1918,3998645.728,3823,6406,St Matthew Catholic Church,Hall,672 Temple Ave,Long Beach,90814,4 Day,,
