X,Y,OBJECTID,VCID,VC_Site_Name,VC_Site_Room,VC_Site_address,VC_Site_city,VC_Site_ZIP,Voting_Period_Type,number_of_BMDs,VC_Size
-13150606.9636,3997023.9772,3905,12532,Bay Shore Comm Congregational Church,Gymnasium,5100 E The Toledo,Long Beach,90803,4 Day,,
-13152059.7759,4016433.5674,3906,14801,Golden Park,Auditorium,8840 Golden Ave,Downey,90242,4 Day,,
-13161634.9256,4036368.5336,3907,13232,Metro Headquarters,Plaza Level Lobby,1 Gateway Plz,Los Angeles,90012,4 Day,,
-13151276.7583,4048356.2718,3908,3897,First United Methodist Church-Pasadena,Great Hall,500 E Colorado Blvd,Pasadena,91101,4 Day,,
-13149040.2565,4027812.9824,3909,12420,Chet Holifield Park,Community Room,1060 S Greenwood Ave,Montebello,90640,4 Day,,
-13157687.5156,4095453.8304,3910,85,Acton Agua Dulce Library,Meeting Room,33792 Crown Valley Rd ,Acton,93510,4 Day,,
-13171399.6302,4054788.8259,3911,9681,McCambridge Recreation Center,Room 4,1515 N Glenoaks Blvd,Burbank,91504,4 Day,,
-13117689.6316,4047216.1244,3912,6853,Glendora Masonic Temple,Hall and Coffee Room,135 N Valley Center Ave,Glendora,91741,11 Day,,
-13196302.1124,4050997.1482,3913,14503,Wilbur Charter for Enriched Academics,Auditorium,5213 Crebs Ave,Tarzana,91356,4 Day,,
-13190754.3473,4036171.3663,3914,2400,Paul Revere Middle School,Library,1450 Allenford Ave,Los Angeles,90049,4 Day,,
-13173393.4424,4051711.2201,3915,2971,Magnolia Park United Methodist Church,Fellowship Hall,2828 W Magnolia Blvd,Burbank,91505,11 Day,,
-13158563.5927,4041902.5126,3916,603,Ramona Hall Community Center,Banquet Hall,4580 N Figueroa St,Los Angeles,90065,4 Day,,
-13113792.5641,4043205.3311,3917,326,San Dimas City Hall,Community Building,245 E Bonita Ave,San Dimas,91773,11 Day,,
-13133934.956,4036491.6633,3918,10861,Torch Middle School,Watanabe Center,751 Vineland Ave,City of Industry,91746,4 Day,,
-13221213.1616,4048389.3718,3919,14513,Courtyard Thousand Oaks Agoura Hills,Sierra Ballroom,29505 Agoura Rd,Agoura Hills,91301,4 Day,,
-13183302.2625,4050880.7811,3920,2402,Louis Armstrong Middle School,Gymnasium,5041 Sunnyslope Ave,Sherman Oaks,91423,4 Day,,
-13162482.115,4021830.3298,3921,11790,Tree of Life Baptist Church,Fellowship Hall,9702 Holmes Ave ,Los Angeles,90002,11 Day,,
-13170588.4626,4035947.4863,3922,6142,Trinity Central Lutheran Church,Parish Hall,987 S Gramercy Pl,Los Angeles,90019,11 Day,,
-13153433.0881,4055106.2047,3923,12860,Sacred Heart Catholic Church,Parish Hall,2889 Lincoln Ave,Altadena,91001,4 Day,,
-13175070.8193,4033096.7748,3924,2767,Cienega Elementary School,Auditorium,2611 S Orange Dr,Los Angeles,90016,4 Day,,
-13182183.5584,4033245.9184,3925,532,Palms Recreation Center,Auditorium 1 and 2,2950 Overland Ave,Los Angeles,90064,4 Day,,
-13222102.1714,4048225.9233,3926,12693,Agoura Hills Civic Center,Community Room,30001 Ladyface Ct,Agoura Hills,91301,4 Day,,
-13122912.3395,4026378.7937,3927,12301,Rowland High School,Hide Out,2000 S Otterbein Ave ,Rowland Heights,91748,4 Day,,
-13111740.6196,4047188.4433,3928,10687,San Dimas Canyon Golf Course,Canyon View Room,2100 Terrebonne Ave ,San Dimas,91773,4 Day,,
-13172443.7076,4031626.6091,3929,14446,Rios,Lunch Room,3101 W Exposition Pl,Los Angeles,90018,4 Day,,
-13151565.8939,4121628.9197,3930,11792,Park View Educational Complex,Gymnasium,44327 Fig Ave ,Lancaster,93534,4 Day,,
-13155408.054,4025098.8067,3931,3114,Iglesia De Dios,Community Room,6830 Wilcox Ave ,Bell,90201,4 Day,,
-13164344.4331,4037815.8288,3932,160,Echo Park Branch Library,203 Multi-Purpose Room,1410 W Temple St,Los Angeles,90026,4 Day,,
-13181568.4248,3998876.4237,3933,2232,Palos Verdes Intermediate School,Multi-Purpose Room,2161 Via Olivera,Palos Verdes Estates,90274,4 Day,,
-13206466.9344,4057770.867,3934,14378,Justice Street Academy Charter School,Auditorium,23350 Justice St ,West Hills,91304,4 Day,,
-13181360.9488,4027918.6048,3935,593,Mar Vista Gardens Recreation Center,Community Room,4909 Marionwood Dr,Culver City,90230,4 Day,,
-13130299.6385,4032332.7114,3936,10639,La Puente Community Center,Multi-Purpose Rooms 22-24,501 Glendora Ave,La Puente,91744,11 Day,,
-13194146.7411,4034717.8319,3937,9542,Palisades Branch Library,Meeting Room,861 Alma Real Dr,Pacific Palisades,90272,4 Day,,
-13178187.777,4066502.1855,3938,14629,PUC Lakeview Charter Academy,Multi-Purpose Room,11465 Kagel Canyon St,Lake View Terrace,91342,4 Day,,
-13182988.0028,4062270.7836,3939,12943,Pacoima Middle School,Social Hall,9919 Laurel Canyon Blvd,Pacoima,91331,4 Day,,
-13172981.3168,4016226.5404,3940,14149,Bud Carson Middle School,Gymnasium,13838 Yukon Ave,Hawthorne,90250,4 Day,,
-13150849.8832,4006189.2891,3941,10547,Long Beach City College,Multi-Purpose Room T1200,4901 E Carson St,Long Beach,90808,11 Day,,
-13190115.2853,4039117.5513,3942,12325,Crestwood Hills Recreation Center,Clubroom,1000 Hanley Ave,Los Angeles,90049,11 Day,,
-13157374.3856,4008986.9415,3943,4501,Grace Samoan Church of the Nazarene,Fellowship Hall,24 E 53rd St,Long Beach,90805,4 Day,,
-13128213.1658,4042782.2186,3944,14160,Dan Diaz Recreation Center,Gymnasium,16053 Calle De Paseo St,Irwindale,91706,4 Day,,
-13155687.9083,4034461.2173,3945,12921,Our Lady of Guadalupe Church,Cafeteria,4018 Hammel St,Los Angeles,90063,11 Day,,
-13185847.6424,4070139.6925,3946,188,Sylmar Branch Library,Meeting Room,14561 Polk St,Sylmar,91342,11 Day,,
-13145683.8628,4029997.4052,3947,5829,Montebello Gardens Elementary School,Cafetorium,4700 Pine St,Pico Rivera,90660,4 Day,,
-13155404.1599,4011431.1182,3948,2266,New Philadelphia AME Church,Butler Hall,6380 Orange Ave,Long Beach,90805,4 Day,,
-13180007.1852,4024297.8245,3949,9127,Westchester Family YMCA  Annex,Meeting Room Hall,8020 Alverstone Ave,Los Angeles,90045,11 Day,,
-13142663.5693,4026809.4959,3950,6553,Salem Lutheran Church,Robinson Hall,6442 Glengarry Ave,Whittier,90606,4 Day,,
-13187589.2326,4061393.0015,3951,8936,Sepulveda Middle School,Evans Hall,15330 Plummer St,North Hills,91343,4 Day,,
-13168598.1517,4015795.5799,3952,2230,Church Of The Holy Communion,Parish Hall,1160 W 141st St,Gardena,90247,4 Day,,
-13203119.8094,4056540.1101,3953,14278,Canoga Park Elementary School,Auditorium,7438 Topanga Canyon Blvd,Canoga Park,91303,4 Day,,
-13164950.8882,4037050.7296,3954,4424,Belmont High School,Auditorium,1575 W 2nd St,Los Angeles,90026,4 Day,,
-13184101.2189,4032810.9008,3955,1855,Daniel Webster Middle School,Multi-Purpose Room,11330 Graham Pl,Los Angeles,90064,4 Day,,
-13199943.7185,4055238.153,3956,8603,Fullbright Avenue Elementary School,Auditorium,6940 Fullbright Ave,Winnetka,91306,4 Day,,
-13180271.4634,4038625.128,3957,13573,Beverly Hills City Hall,Municipal Gallery 2nd Floor,455 N Rexford Dr,Beverly Hills,90210,11 Day,,
-13146765.4409,4041660.4504,3958,13271,San Gabriel Library,Meeting Room 2nd Floor,500 S Del Mar Ave,San Gabriel,91776,11 Day,,
-13106977.1686,4040989.3956,3959,4378,Palomares Park,Senior Center,499 E Arrow Hwy,Pomona,91767,4 Day,,
-13179651.1219,4047818.0763,3960,3776,Bridges Academy,Auditorium,3921 Laurel Canyon Blvd,Studio City,91604,4 Day,,
-13169098.488,4029670.7848,3961,4118,St Cecilia Catholic Church,Parish Hall,4230 S Normandie Ave ,Los Angeles,90037,4 Day,,
-13150267.5364,4007519.3012,3962,8251,Pan American Park,Gymnasium,5157 E Centralia St,Long Beach,90808,4 Day,,
-13143420.5043,4015755.3432,3963,2821,Norwalk Masonic Center,Dining Room,12345 Rosecrans Ave,Norwalk,90650,4 Day,,
-13171396.7728,4042982.9326,3964,9710,Cheremoya Avenue Elementary School,Auditorium,6017 Franklin Ave,Los Angeles,90028,4 Day,,
-13159339.1782,4045774.8325,3965,11756,Occidental College,Herrick Memorial Chapel-Interfaith Ctr,1600 Campus Rd,Los Angeles,90041,4 Day,,
-13146249.8391,4013471.532,3966,11767,Cerritos College,Conference Center,11110 Alondra Blvd,Norwalk,90650,4 Day,,
-13151276.8108,4122999.6894,3967,118,Lancaster Library,Anna Davis Meeting Room,601 W Lancaster Blvd,Lancaster,93534,11 Day,,
-13149953.7592,4037658.1745,3968,13168,Langley Senior Center,Friendship Room,400 W Emerson Ave,Monterey Park,91754,4 Day,,
-13185687.1793,4053793.9989,3969,14386,Latin Paradise Banquet Hall,Banquet Hall,6357 Van Nuys Blvd,Van Nuys,91401,11 Day,,
-13157922.4564,4116670.6366,3970,5297,Antelope Valley Church,AV Reach,3830 W Avenue L8,Lancaster,93536,4 Day,,
-13173740.0745,4017663.4144,3971,14805,Hawthorne Memorial Center,Venus Room,3901 W El Segundo Blvd,Hawthorne,90250,11 Day,,
-13171966.1259,4005593.2151,3972,14855,Dee Hardison Sports Center,Multi-Purpose Room,2400 Jefferson St,Torrance,90501,11 Day,,
-13157615.2783,4022485.0817,3973,14914,South Gate Middle School,Auditorium,4100 Firestone Blvd ,South Gate,90280,4 Day,,
-13165132.3989,4040086.8276,3974,14896,Mayberry Street Elementary School,Multi-Purpose Room,2414 Mayberry St,Los Angeles,90026,4 Day,,
-13159933.1922,4026246.4455,3975,14883,Gage Middle School,Multi-Purpose Room,2880 E Gage Ave,Huntington Park,90255,4 Day,,
-13168762.0059,4010945.2576,3976,14884,Gardena High School,Social Hall,1301 W 182nd St,Gardena,90248,4 Day,,
-13205726.9333,4056087.9782,3977,14924,UCLA West Valley Medical Center,Cafeteria,7300 Medical Center Dr,West Hills,91307,4 Day,,
-13180234.6501,4057658.8738,3978,14919,Strathern Elementary School,Auditorium,7939 Saint Clair Ave,North Hollywood,91605,4 Day,,
-13173195.1577,4040540.5769,3979,14868,Bancroft Middle School,Auditorium,929 N Las Palmas Ave,Los Angeles,90038,4 Day,,
-13154330.642,3997425.0079,3980,14870,Bixby Park,Social Hall 1,130 Cherry Ave ,Long Beach,90802,4 Day,,
-13122676.5864,4046880.8318,3981,14932,Citrus College,Hayden Hall Room 101,1000 W Foothill Blvd,Glendora,91741,4 Day,,
-13167612.0684,4040809.3468,3982,14935,The New Presbyterian Church,Fellowship Hall,970 N Virgil Ave ,Los Angeles,90029,11 Day,,
-13167239.1837,4037135.0885,3983,14938,Lafayette Multi-Purpose Comm Center,Club Room A,625 S La Fayette Park Pl,Los Angeles,90057,4 Day,,
-13195305.2112,4057338.7526,3984,14957,Reseda Church of Christ,Fellowship Hall,7806 Reseda Blvd,Reseda,91335,11 Day,,
-13157829.87,4044370.0961,3985,14962,Franklin High School,Small Gymnasium,820 N Avenue 54,Los Angeles,90042,4 Day,,
-13191337.6519,4084007.8308,3986,14977,The Centre,Sycamore Room,20880 Centre Pointe Pkwy,Santa Clarita,91350,11 Day,,
-13194059.6044,4058969.1477,3987,14999,Northridge Middle School,Multi-Purpose Room,17960 Chase St,Northridge,91325,4 Day,,
-13118641.8924,4043785.5011,3988,15000,Sunflower Campus,Multi-Purpose Room,1505 Sunflower Ave,Glendora,91740,4 Day,,
-13213619.2586,4047145.5851,3989,15009,Las Virgenes Municipal Water District,Pure Water Demonstration Facility,4232 Las Virgenes Rd,Calabasas,91302,4 Day,,
-13131268.0205,4041747.2393,3990,15011,Baldwin Park Performing Arts Center,Lobby,4640 Maine Ave,Baldwin Park,91706,4 Day,,
-13133663.2476,4038880.6046,3991,15015,Early Childhood Education Center,Building N,13307 Francisquito Ave,Baldwin Park,91706,4 Day,,
-13190229.0412,4030315.6516,3992,15021,Civic Center Parking Structure,Santa Monica Inst-SMI Train Rm,330 Olympic Dr 2nd Floor Plaza Level,Santa Monica,90401,11 Day,,
-13204135.9662,4094242.0051,3993,15023,Castaic Regional Sports Complex,Community Room,31230 Castaic Rd,Castaic,91384,11 Day,,
-13168377.6098,4032382.7874,3994,15034,John Mack Elementary School,Multi-Purpose Room,3020 S Catalina St,Los Angeles,90007,4 Day,,
-13163320.2678,4023575.3017,3995,15035,Charles Drew Middle School,Gymnasium,8511 Compton Ave,Los Angeles,90001,4 Day,,
-13162729.6962,4033767.6882,3996,15037,Inner-City Arts,Rosenthal Theater,720 Kohler St,Los Angeles,90021,4 Day,,
-13147783.1748,4037044.5101,3997,15038,Union Church LA,Kids Building,201 S New Ave,Monterey Park,91755,11 Day,,
-13167130.6023,3999654.0615,3998,17005,Los Angeles Harbor College,Dance Studio Rooms 140 and 141,1111 Figueroa Pl,Wilmington,90744,4 Day,,
-13169036.3515,3994061.4945,3999,17051,San Pedro and Peninsula YMCA,Gymnasium 2nd Floor,301 S Bandini St,San Pedro,90731,4 Day,,
-13157925.2452,4019106.3411,4000,17100,Lynwood Community Transit Center,Gymnasium,11301 Bullis Rd   ,Lynwood,90262,4 Day,,
-13149356.5068,4023899.4228,4001,17173,New Season LA,Rooms 2 and 3,9001 Paramount Blvd,Downey,90240,4 Day,,
-13184883.2107,4085167.6295,4002,17511,Canyon Country Park,East and West Rooms,17615 Soledad Canyon Rd,Santa Clarita,91387,11 Day,,
-13135982.5691,4020382.9442,4003,17113,Parnell Park Comm and Senior Center,Walnut Room 1,15390 Lambert Rd,Whittier,90604,4 Day,,
-13176360.7258,4003691.9666,4004,17147,South High School,Pavilion Gymnasium,4801 Pacific Coast Hwy ,Torrance,90505,4 Day,,
-13170641.1404,4041618.3078,4005,17151,Bernstein High School,Library,1309 N Wilton Pl,Los Angeles,90028,4 Day,,
-13162969.9792,4034758.0574,4006,14985,James Wood Community Center,Community Room,400 E 5th St,Los Angeles,90013,4 Day,,
-13162722.1742,4058885.5944,4007,15016,Crescenta Valley High School,Auditorium Lobby,2900 Community Ave,La Crescenta,91214,4 Day,,
-13165434.3157,4024724.9694,4008,15018,Fremont High School,Small Gymnasium,7676 S San Pedro St ,Los Angeles,90003,4 Day,,
-13136065.1149,4039807.6469,4009,17140,Durfee Elementary-Middle School,Staff Training Room,12233 Star St ,El Monte,91732,4 Day,,
-13158738.8021,4032463.1712,4010,17743,Ramon Garcia Recreation Center,Preschool Building,1016 S Fresno St ,Los Angeles,90023,4 Day,,
-13173922.3536,4015870.9597,4011,18184,American Legion Post 314,Main Hall,14124 Prairie Ave,Hawthorne,90250,4 Day,,
-13167204.8166,4033182.8095,4012,18208,Hoover Recreation Center,Auditorium,1010 W 25th St ,Los Angeles,90007,4 Day,,
-13194990.2439,4035392.3606,4013,18636,Pacific Palisades Presbyterian Church,Janes Hall,15821 W Sunset Blvd,Pacific Palisades,90272,4 Day,,
-13132408.5136,4047524.3233,4014,17101,Duarte Community Center,Community Center,1600 Huntington Dr ,Duarte,91010,4 Day,,
-13189123.6471,4029048.8258,4015,17109,Washington Preschool,Multi-Purpose Room,2802 4th St,Santa Monica,90405,4 Day,,
-13177445.1652,4062297.2326,4016,17742,Stonehurst Recreation Center,Preschool Building,9901 Dronfield Ave,Sun Valley,91352,11 Day,,
-13186661.2271,4059692.5331,4017,17862,Mid Valley Senior Center,Main Room,8801 Kester Ave,Panorama City,91402,11 Day,,
-13155990.9418,4110109.2239,4018,18653,Marie Kerr Park,Community Building,39700 30th St W,Palmdale,93551,11 Day,,
-13152225.4189,4034303.3408,4019,18897,East Los Angeles College,F5-201 Multi-Purpose Room,1301 Avenida Cesar Chavez,Monterey Park,91754,4 Day,,
-13160166.0967,4032476.091,4020,19464,KIPP Promesa Prep,Multi-Purpose Room,1241 S Soto St,Los Angeles,90023,4 Day,,
-13155111.7665,4000757.3125,4021,19595,Long Beach City College-Pacific Coast,Room GG238,1305 E Pacific Coast Hwy,Long Beach,90806,11 Day,,
-13157134.3644,4003107.3,4022,19742,Veterans Park,Social Hall,101 E 28th St,Long Beach,90806,11 Day,,
-13194312.298,4061272.7257,4023,19922,Cal State University Northridge,Redwood Hall 180,18111 Nordhoff St,Northridge,91330,11 Day,,
-13227860.9074,4032076.6911,4024,19954,Malibu High School,Parent Center A-006,30215 Morning View Dr,Malibu,90265,4 Day,,
-13186340.7824,4055804.8147,4025,19488,Van Nuys Masonic Center,Ballroom,14750 Sherman Way,Van Nuys,91405,4 Day,,
-13161523.1877,4044664.26,4026,19918,Glassell Senior Citizen Center,Activity Room,3750 Verdugo Rd,Los Angeles,90065,11 Day,,
-13205464.5994,4088195.3432,4027,17089,Castaic Union School District,Boardroom,28131 Livingston Ave,Valencia,91355,4 Day,,
-13189068.2927,4045461.9093,4028,18775,Skirball Cultural Center,Herscher Hall,2701 N Sepulveda Blvd,Los Angeles,90049,4 Day,,
-13172226.3913,4026161.3566,4029,19837,YES Academy,Auditorium,3140 Hyde Park Blvd,Los Angeles,90043,4 Day,,
-13145179.8224,4041868.9363,4030,19920,Roosevelt Elementary School,Room 12,401 S Walnut Grove Ave,San Gabriel,91776,4 Day,,
-13170374.7781,4025680.0222,4031,19979,Mann UCLA Community School,Auditorium,7001 S St Andrews Pl,Los Angeles,90047,4 Day,,
-13160465.7778,4015220.7542,4032,17560,Douglas F Dollarhide Community Center,Banquet Hall Room 101,301 N Tamarind Ave,Compton,90220,11 Day,,
-13148469.7929,4106584.7995,4033,19550,Palmdale Courthouse,Operations Room 400,38256 Sierra Hwy ,Palmdale,93550,4 Day,,
-13178026.0474,4036020.0659,4034,19702,Congregation Ohel Moshe,Pardess Hall,8646 W Pico Blvd,Los Angeles,90035,4 Day,,
-13178825.1285,4050551.8926,4035,20187,Faith Presbyterian Church,Caldwell Hall,5000 Colfax Ave ,Valley Village,91601,4 Day,,
-13173072.2671,4042876.8647,4036,20180,Las Palmas Senior Enrichment Center,Auditorium and Lobby,1820 N Las Palmas Ave,Los Angeles,90028,11 Day,,
-13164667.8172,4038185.3333,4037,20220,Echo Park Recreation Center,Classrooms 3 and 4,1632 Bellevue Ave,Los Angeles,90026,11 Day,,
-13147487.3116,3999270.6122,4038,20238,Sato Academy,Meeting Room 104,1100 Iroquois Ave ,Long Beach,90815,4 Day,,
-13173088.4829,4011706.9322,4039,20237,Herma Tillim Senior Center,Comm Room and Early Childhood Ed Room,3612 Artesia Blvd,Torrance,90504,4 Day,,
-13183201.9294,4085234.5168,4040,20474,Sulphur Springs Community School,G1 and G2,16628 Lost Canyon Rd,Canyon Country,91387,4 Day,,
-13168464.0593,4035428.05,4041,20571,Berendo Middle School,Auditorium,1157 S Berendo St,Los Angeles,90006,4 Day,,
-13169591.0086,4035897.0298,4042,20572,Hobart Boulevard Elementary School,Auditorium,980 S Hobart Blvd,Los Angeles,90006,4 Day,,
-13139566.7304,4025146.3577,4043,20698,Whittier Community Center,Rooms 1 and 2,7630 Washington Ave,Whittier,90602,4 Day,,
-13184643.3959,4055723.6731,4044,18106,Hazeltine Avenue Elementary School,Auditorium,7150 Hazeltine Ave,Van Nuys,91405,4 Day,,
-13168713.3148,4036772.8616,4045,19087,Robert F Kennedy Community Schools,Middle School Gymnasium,701 S Catalina St,Los Angeles,90005,4 Day,,
-13157335.9603,3997832.2073,4046,17645,Billie Jean King Main Library,Meeting Room A,200 W Broadway,Long Beach,90802,4 Day,,
-13134250.3695,4048466.4085,4047,20705,Santa Anita Family YMCA,Gymnasium,501 S Mountain Ave,Monrovia,91016,4 Day,,
-13128717.3011,4032725.4477,4048,20807,Workman High School,DEN,16303 Temple Ave,City of Industry,91744,4 Day,,
-13191577.1427,4063729.6339,4049,20892,Valley Korean United Methodist Church,Ed Bldg Lobby and Rooms 100 and 101,10408 Balboa Blvd,Granada Hills,91344,11 Day,,
-13182465.1034,4071289.6375,4050,20910,Los Angeles Mission College,Campus Center,13356 Eldridge Ave,Sylmar,91342,4 Day,,
-13142537.151,4103845.5451,4051,20921,Palmdale Oasis Park Recreation Center,Meeting Rooms 2 and 3,3850 E Avenue S,Palmdale,93550,11 Day,,
-13147575.5547,4051583.9984,4052,20557,Webster Elementary School,Auditorium,2101 E Washington Blvd,Pasadena,91104,4 Day,,
-13186802.052,4084862.3227,4053,20891,Canyon Country Jo Anne Darcy Library,Community Room,18601 Soledad Canyon Rd,Santa Clarita,91351,4 Day,,
-13141026.4824,4042621.5563,4054,20913,Live Oak Park Community Center,Live Oak 3,10144 Bogue St,Temple City,91780,4 Day,,
-13122052.4427,4048752.2808,4055,19906,St Lucy's Priory High School,North Building,655 W Sierra Madre Ave,Glendora,91741,4 Day,,
-13179746.3626,4031619.224,4056,20935,Culver City City Hall,Patacchia Rooms 1st Floor,9770 Culver Blvd,Culver City,90232,11 Day,,
-13143802.1345,4029800.22,4057,20936,Pico Park Community Center,Auditorium A and B,9528 Beverly Blvd,Pico Rivera,90660,4 Day,,
-13163089.8782,4036416.942,4058,20938,Kenneth Hahn Hall of Administration,2nd Floor Lobby,500 W Temple St,Los Angeles,90012,4 Day,,
-13158636.2135,4011504.9232,4059,20943,Jordan Plus,Building D Multi-Purpose Room,171 W Bort St,Long Beach,90805,4 Day,,
-13195158.6775,4086704.2356,4060,19591,Santa Clarita United Methodist Church,Youth Hall,26640 Bouquet Canyon Rd,Santa Clarita,91350,4 Day,,
-13116285.9219,4041984.237,4061,21010,Bonita Center for the Arts,Lobby,822 W Covina Blvd,San Dimas,91773,4 Day,,
-13153375.7905,4000399.7144,4062,20954,Cambodian-American Utd Methodist Church,Fellowship Hall and Sunday Classroom,1700 Temple Ave,Long Beach,90804,4 Day,,
-13156270.5127,4005204.6596,4063,17068,Dana Neighborhood Library,Community Room,3680 Atlantic Ave,Long Beach,90807,4 Day,,
-13144165.7411,4123243.7554,4064,20941,Eastside Union School District,Training Rooms 105 and 106,44938 30th St E,Lancaster,93535,4 Day,,
-13163991.8343,4035472.0712,4065,20964,Millennium Biltmore Hotel Los Angeles,Heinsbergen Room,506 S Grand Ave ,Los Angeles,90071,4 Day,,
-13195453.7892,4080001.8334,4066,21006,Our Lady of Perpetual Help Pastoral Ctr,Junipero Serra and Our Lady Rooms,23045 Lyons Ave,Santa Clarita,91321,4 Day,,
-13187979.7165,4031078.6328,4067,20987,Santa Monica College,Cayton Center Building Faculty Lounge,1900 Pico Blvd,Santa Monica,90405,4 Day,,
-13178576.8202,4039743.931,4068,20975,West Hollywood Park,La Cienega and San Vicente Rooms,8750 El Tovar Pl,West Hollywood,90069,4 Day,,
-13178855.1887,4029397.0355,4069,20961,West Los Angeles College,Fine Arts Gallery,9000 Overland Ave,Culver City,90230,4 Day,,
-13165815.6032,4032792.372,4070,20971,Los Angeles Trade Technical College,Lib Arts Bldg Multi-Purpose Room F5-101,400 W Washington Blvd,Los Angeles,90015,4 Day,,
-13116508.5888,4114985.7235,4071,21015,Wilsona Elementary School,Rooms S11 and S13,16845 E Avenue M 8,Lake Los Angeles,93535,4 Day,,
-13203995.0076,4052073.9331,4072,21016,Woodland Hills United Methodist Church,Education Building Rooms 1 and 2,5650 Shoup Ave,Woodland Hills,91367,4 Day,,
-13160280.1252,4112517.0643,4073,21024,Boulders at the Ranch One,Clubhouse,40701 Rancho Vista Blvd,Palmdale,93551,4 Day,,
-13174832.7365,4031811.1403,4074,21026,Michelle and Barack Obama Sport Complex,Community Room,5001 Obama Blvd,Los Angeles,90016,4 Day,,
-13151006.2688,4022492.2046,4075,21227,Furman Park,Activity Rooms 1 and 2,10419 Rives Ave,Downey,90241,4 Day,,
-13170496.5165,3995207.3237,4076,17355,Crestwood Street Elementary School,Auditorium,1946 W Crestwood St,Rancho Palos Verdes,90275,4 Day,,
-13171230.0318,4020341.0688,4077,17450,Century Park Elementary School,Auditorium,10935 Spinning Ave ,Inglewood,90303,4 Day,,
-13147559.6128,4022953.909,4078,17611,Unsworth Elementary School,Cafeteria,9001 Lindsey Ave ,Downey,90240,4 Day,,
-13180841.0695,4038309.5671,4079,17616,All Saints Episcopal Church,Lower Sweetland Hall,504 N Camden Dr,Beverly Hills,90210,4 Day,,
-13102355.954,4043851.2644,4080,17790,Granite Creek Community Church,Sanctuary,1580 N Claremont Blvd,Claremont,91711,11 Day,,
-13155366.7145,4024380.5377,4081,17801,Ellen Ochoa Learning Center,Multi-Purpose Room,5027 Live Oak St,Cudahy,90201,4 Day,,
-13170051.404,4021641.0974,4082,17880,Church of the Living God CWFF Temple 44,Fellowship Hall,9800 Western Ave ,Los Angeles,90047,4 Day,,
-13155522.9822,4014046.86,4083,17919,Frank J Zamboni Middle School,Library,15733 Orange Ave,Paramount,90723,4 Day,,
-13183578.2875,4087508.8276,4084,18004,College Of the Canyons-Canyon Country,Student Services Bldg 1st Floor Lobby,17200 Sierra Hwy,Santa Clarita,91351,4 Day,,
-13164848.507,4000319.7572,4085,17982,Harry Bridges Span School,Auditorium,1235 Broad Ave ,Wilmington,90744,4 Day,,
-13105443.2901,4044302.4776,4086,18070,Condit Elementary School,Multi-Purpose Room,1750 N Mountain Ave,Claremont,91711,4 Day,,
-13164330.8337,4015691.2502,4087,18321,Holy Chapel Missionary Baptist Church,Fellowship Hall,1016 E Rosecrans Ave,Rancho Dominguez,90220,4 Day,,
-13159723.2812,4004982.302,4088,18390,Long Beach Sportsman's Club,Hall,3623 Santa Fe Ave,Long Beach,90810,4 Day,,
-13148997.0642,4012288.8353,4089,18554,Las Flores Home Ed Ind Study Academy,Cafeteria,10039 Palm St,Bellflower,90706,4 Day,,
-13134558.8696,4015205.1287,4090,18613,Alternative Education Center,Multi-Purpose Room,14640 Mercado Ave,La Mirada,90638,4 Day,,
-13154801.0493,4034356.4464,4091,18637,Animo Ellen Ochoa Charter Middle School,Multi-Purpose Room,4360 Dozier St,Los Angeles,90022,4 Day,,
-13154544.9465,4017697.2819,4092,18649,Moose Family Center,Lodge Hall,12021 Garfield Ave,South Gate,90280,4 Day,,
-13153613.6091,4024536.1273,4093,18880,Neighborhood Youth Center,Gymnasium,5856 Ludell St,Bell Gardens,90201,4 Day,,
-13166595.4303,4035662.6809,4094,18932,The Live Hotel,Grand Ballroom,1901 W Olympic Blvd,Los Angeles,90006,4 Day,,
-13175777.962,4024630.3924,4095,19111,Rogers Park,Senior Auditorium,400 W Beach Ave ,Inglewood,90302,11 Day,,
-13176602.8932,4059777.7938,4096,19122,Cielo Banquet Hall,Junior Hall,8905 Glenoaks Blvd HIJ,Sun Valley,91352,4 Day,,
-13158781.7303,4023070.1101,4097,19451,Salon South Gate,Hall,3424 Ardmore Ave,South Gate,90280,4 Day,,
-13173841.298,4033151.5027,4098,19476,Southern Missionary Baptist Church,Fellowship Hall,4678 W Adams Blvd ,Los Angeles,90016,4 Day,,
-13166873.0516,4046623.6115,4099,20118,Griffith Park Visitor Center,Auditorium,4730 Crystal Springs Dr,Los Angeles,90027,4 Day,,
-13149056.1674,4011349.3825,4100,20263,Thomas Jefferson Elementary School,Multi-Purpose Room,10027 Rose St ,Bellflower,90706,4 Day,,
-13168085.5051,4021556.3721,4101,20560,Weingart YMCA Wellness and Aquatic Ctr,Gymnasium,9900 S Vermont Ave ,Los Angeles,90044,4 Day,,
-13179576.1473,4010568.9617,4102,20640,Hermosa Beach Community Center,Room 7,710 Pier Ave,Hermosa Beach,90254,11 Day,,
-13160154.4098,4014959.3896,4103,20771,Wilson Park,Ballroom,123 N Rose Ave,Compton,90221,4 Day,,
-13172261.2755,4024497.4632,4104,20849,Zion Hill Baptist Church,Gymnasium,7860 10th Ave ,Los Angeles,90043,11 Day,,
-13139739.5802,4022944.8271,4105,20889,Laurel Elementary School,Cafeteria,13550 Lambert Rd,Whittier,90605,4 Day,,
